frame_interval,time_interval,msd,msd_std
1.0,1.0,39.505111685213734,0.4793902338383727
2.0,2.0,120.932289531357,1.597226236513987
3.0,3.0,227.59695818561423,3.0870699931015224
4.0,4.0,363.8747501167183,5.398583098919569
5.0,5.0,519.2955400315615,8.266750188900337
6.0,6.0,692.2406799526904,11.559447249187619
7.0,7.0,874.7165101233411,15.268368080965312
8.0,8.0,1078.2602035643893,19.95176894002171
9.0,9.0,1283.017604466788,25.078483069613934
10.0,10.0,1497.089427261204,30.734406135243397
11.0,11.0,1726.598585013426,37.357435733668034
12.0,12.0,1955.7769227278284,44.782997322644086
13.0,13.0,2171.3214097624036,51.81940568245181
14.0,14.0,2402.678619404671,60.024787519993154
15.0,15.0,2513.381072712069,68.2758537230567
16.0,16.0,2750.432388981094,77.80574068085755
17.0,17.0,2957.24506369168,91.23715465447142
